DATE,LFWA64TTUSM647S
2011-04-01,199810308.47916
2011-05-01,199926194.03606302
2011-06-01,199963564.418897
2011-07-01,200117683.693034
2011-08-01,200190072.503578
2011-09-01,200236807.674831
2011-10-01,200367958.692857
2011-11-01,200282198.100841
2011-12-01,200228611.045307
2012-01-01,201109816.452427
2012-02-01,201144188.738383
2012-03-01,201170431.89006498
2012-04-01,201398506.237734
2012-05-01,201415676.854812
2012-06-01,201459353.68805698
2012-07-01,201520687.96533298
2012-08-01,201555057.31945
2012-09-01,201584451.977767
2012-10-01,201622555.93072
2012-11-01,201657573.174667
2012-12-01,201703682.65441102
2013-01-01,201827910.937979
2013-02-01,201961328.0391
2013-03-01,201947700.403839
2013-04-01,202184642.667169
2013-05-01,202222552.426037
2013-06-01,202308570.073265
2013-07-01,202313040.073457
2013-08-01,202435031.369316
2013-09-01,202540348.871582
2013-10-01,202563985.60933
2013-11-01,202642650.105543
2013-12-01,202621138.478378
2014-01-01,202619026.380972
2014-02-01,202705862.97156
2014-03-01,202655081.167126
2014-04-01,202802797.20655897
2014-05-01,202873103.99317598
2014-06-01,202983794.022194
2014-07-01,203017504.72432
2014-08-01,203170648.194046
2014-09-01,203179292.561076
2014-10-01,203240769.280096
2014-11-01,203373858.406915
2014-12-01,203357741.22695
2015-01-01,203996754.20914403
2015-02-01,204069740.864418
2015-03-01,203939164.788124
2015-04-01,204022580.660668
2015-05-01,204171406.019483
2015-06-01,204264781.36878002
2015-07-01,204345534.470105
2015-08-01,204475999.88095
2015-09-01,204481681.28106302
2015-10-01,204568764.090206
2015-11-01,204665353.63187
2015-12-01,204681845.29828998
2016-01-01,205232345.577639
2016-02-01,205294978.67641798
2016-03-01,205167366.12283
2016-04-01,205299608.079512
2016-05-01,205359785.05656803
2016-06-01,205445589.355104
2016-07-01,205569428.069561
2016-08-01,205631631.851408
2016-09-01,205694924.343597
2016-10-01,205811025.808424
2016-11-01,205866299.296873
2016-12-01,205929333.03639302
2017-01-01,205458116.468815
2017-02-01,205512872.49660802
2017-03-01,205297665.035295
2017-04-01,205322787.502391
2017-05-01,205368487.41438302
2017-06-01,205497445.163429
2017-07-01,205615292.47272
2017-08-01,205633098.51508403
2017-09-01,205650869.926917
2017-10-01,205682199.938462
2017-11-01,205724533.978028
2017-12-01,205830652.583043
2018-01-01,206466366.367899
2018-02-01,206510139.322181
2018-03-01,206266652.54688698
2018-04-01,206319790.687293
2018-05-01,206335525.12800002
2018-06-01,206439617.56724
2018-07-01,206492871.35888302
2018-08-01,206533419.91405
2018-09-01,206610669.904833
2018-10-01,206650786.151945
2018-11-01,206690077.48597
2018-12-01,206817468.01429302
2019-01-01,206399607.638873
2019-02-01,206477307.70169002
2019-03-01,206165467.466315
2019-04-01,206139938.931229
2019-05-01,206186925.330733
2019-06-01,206287656.320683
2019-07-01,206198348.507023
2019-08-01,206229333.456848
2019-09-01,206203295.42581
2019-10-01,206247487.876659
2019-11-01,206316744.646317
2019-12-01,206438185.996485
2020-01-01,206064303.441143
2020-02-01,206086855.685548
2020-03-01,205556328.05242202
